Word,Fequency
the,  50
a,  36
and,  34
to,  33
he,  26
mike,  23
was,  23
of,  20
had,  17
that,  14
in,  14
his,  14
with,  13
were,  13
for,  11
they,  11
it,  10
just,  8
out,  8
on,  8
says,  7
who,  6
but,  6
as,  5
white,  5
there,  5
nazi,  5
when,  4
could,  4
been,  4
him,  4
at,  4
more,  4
where,  4
all,  4
like,  4
paul,  4
an,  4
man,  3
up,  3
black,  3
us,  3
back,  3
then,  3
uniform,  3
do,  3
home,  3
people,  3
i,  3
group,  3
some,  3
videos,  3
guns,  3
is,  3
different,  3
found,  3
fallen,  2
ground,  2
night,  2
california,  2
tear,  2
gas,  2
into,  2
days,  2
murder,  2
protests,  2
lives,  2
matter,  2
across,  2
police,  2
started,  2
firing,  2
leave,  2
their,  2
car,  2
van,  2
moved,  2
first,  2
learned,  2
officer,  2
later,  2
than,  2
year,  2
still,  2
by,  2
family,  2
also,  2
carillo,  2
few,  2
made,  2
kept,  2
be,  2
extremism,  2
become,  2
violent,  2
summer,  2
before,  2
part,  2
friend,  2
online,  2
visit,  2
parents,  2
house,  2
shoot,  2
nazis,  2
weapons,  2
ammunition,  2
loaded,  2
truck,  2
park,  2
around,  2
uniforms,  2
rangers,  2
not,  2
this,  2
what,  2
them,  2
perfect,  2
spent,  2
town,  2
place,  2
everybody,  2
stepfather,  2
alcoholic,  2
divorce,  2
children,  2
another,  2
anger,  2
content,  2
social,  2
my,  2
locked,  1
eyes,  1
brief,  1
moment,  1
tell,  1
going,  1
die,  1
frantic,  1
downtown,  1
oakland,  1
wind,  1
sharp,  1
sting,  1
whipped,  1
palm,  1
trees,  1
frenzy,  1
three,  1
after,  1
george,  1
floyd,  1
support,  1
breaking,  1
protesting,  1
girlfriend,  1
fell,  1
rubber,  1
bullets,  1
decided,  1
walking,  1
along,  1
streets,  1
filled,  1
smoke,  1
burning,  1
rubbish,  1
bins,  1
saw,  1
pull,  1
heard,  1
gunshots,  1
pulled,  1
away,  1
slumped,  1
towards,  1
trying,  1
remember,  1
aid,  1
training,  1
military,  1
arrived,  1
jittery,  1
jumped,  1
ordered,  1
dave,  1
patrick,  1
underwood,  1
federal,  1
guarding,  1
courthouse,  1
died,  1
scene,  1
haunts,  1
save,  1
coincidence,  1
connection,  1
marching,  1
day,  1
members,  1
connected,  1
charged,  1
steven,  1
sergeant,  1
same,  1
air,  1
force,  1
base,  1
enlisted,  1
years,  1
earlier,  1
secret,  1
wardrobe,  1
khaki,  1
fabric,  1
symbol,  1
collar,  1
hanging,  1
remind,  1
himself,  1
person,  1
used,  1
someone,  1
wanted,  1
go,  1
kill,  1
down,  1
rabbit,  1
hole,  1
follower,  1
final,  1
school,  1
watched,  1
wave,  1
rolled,  1
taking,  1
furthest,  1
thing,  1
from,  1
mind,  1
thought,  1
satan,  1
incarnate,  1
met,  1
new,  1
through,  1
messaging,  1
real,  1
invited,  1
lived,  1
ordinary,  1
quiet,  1
upmarket,  1
suburb,  1
major,  1
city,  1
meeting,  1
propaganda,  1
opened,  1
door,  1
full,  1
took,  1
straight,  1
garage,  1
clothing,  1
store,  1
walls,  1
lined,  1
cartridges,  1
many,  1
gathered,  1
other,  1
young,  1
men,  1
drove,  1
nearby,  1
hills,  1
we,  1
state,  1
automatic,  1
filming,  1
running,  1
appeared,  1
annoyed,  1
kind,  1
standing,  1
really,  1
having,  1
any,  1
wanting,  1
listen,  1
government,  1
authority,  1
telling,  1
cannot,  1
thinks,  1
entitled,  1
which,  1
make,  1
pretend,  1
wehrmacht,  1
armed,  1
forces,  1
confiscated,  1
see,  1
boys,  1
hidden,  1
once,  1
alone,  1
again,  1
went,  1
hung,  1
wearing,  1
vessel,  1
toxic,  1
childhood,  1
small,  1
rural,  1
mostly,  1
kayaking,  1
lake,  1
or,  1
cycling,  1
friends,  1
adults,  1
kids,  1
would,  1
hang,  1
together,  1
dinner,  1
parties,  1
barbecues,  1
spontaneous,  1
knew,  1
lash,  1
violently,  1
mother,  1
got,  1
country,  1
suddenly,  1
living,  1
sweltering,  1
urban,  1
neighbourhood,  1
hated,  1
look,  1
anything,  1
ever,  1
seen,  1
food,  1
water,  1
tasted,  1
everything,  1
completely,  1
much,  1
less,  1
well,  1
off,  1
now,  1
whom,  1
close,  1
despite,  1
outbursts,  1
never,  1
promise,  1
angry,  1
outlet,  1
encouraged,  1
father,  1
began,  1
listening,  1
talk,  1
show,  1
host,  1
sean,  1
hannity,  1
searched,  1
similar,  1
podcasts,  1
facebook,  1
youtube,  1
media,  1
algorithms,  1
already,  1
creating,  1
known,  1
effect,  1
leading,  1
became,  1
extreme,  1
here,  1
told,  1
example,  1
jewish,  1
conspiracy,  1
meant,  1
destroy,  1
ideal,  1
whatever,  1
reason,  1
me,  1
easier,  1
believe,  1
stepdad,  1
degenerate,  1
eventually,  1
migrated,  1
darkest,  1
corners,  1
internet,  1
nationalist,  1
message,  1
boards,  1
these,  1
sites,  1
club,  1
racists,  1
nationalists,  1
say,  1
while,  1
getting,  1
know,  1
one,  1
exchanging,  1
messages,  1
san,  1
francisco,  1
bay,  1
area,  1
how,  1
ended,  1
doorstep,  1
afternoon,  1
looking,  1
put,  1
